City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Alice Springs,43,AU,1582528489,17,-23.7,133.88,95.0,18.34
Zhangye,2,CN,1582528690,22,38.93,100.45,45.34,2.51
Paka,40,MY,1582528692,74,4.64,103.44,84.2,10.29
Necochea,0,AR,1582528693,80,-38.55,-58.74,61.0,13.0
Beringovskiy,76,RU,1582528695,97,63.05,179.32,-4.81,8.79
Tharad,0,IN,1582528696,24,24.4,71.63,83.71,5.21
Mount Isa,100,AU,1582528410,94,-20.73,139.5,80.6,8.05
Sampit,28,ID,1582528699,68,-2.53,112.95,90.88,1.45
Ilulissat,100,GL,1582528700,65,69.22,-51.1,5.0,6.93
Jacobina,79,BR,1582528702,95,-11.18,-40.52,69.1,3.91
Usogorsk,100,RU,1582528703,93,63.41,48.69,28.6,11.77
Vanavara,100,RU,1582528705,88,60.34,102.28,19.8,10.25
Ust'-Kulom,100,RU,1582528706,93,61.69,53.69,25.09,13.0
Kampot,0,KH,1582528708,52,10.62,104.18,89.6,12.75
Orbetello,90,IT,1582528709,100,42.44,11.22,48.2,13.87
Druzhnaya Gorka,90,RU,1582528711,93,59.28,30.14,35.6,11.18
Nuuk,100,GL,1582528712,61,64.18,-51.72,14.0,11.41
Tabatinga,75,BR,1582528714,100,-4.25,-69.94,75.2,1.43
Toamasina,20,MG,1582528715,74,-18.17,49.38,87.8,8.05
Quepos,51,CR,1582528717,68,9.42,-84.17,68.0,16.11
Vakhrushev,30,RU,1582528718,90,48.98,142.97,14.18,4.21
Lianyuan,13,CN,1582528720,59,27.69,111.66,71.8,8.05
Ancud,90,CL,1582528721,93,-41.87,-73.82,46.4,5.39
Iberia,40,US,1582528722,93,29.95,-91.75,59.0,13.87
Tongren,60,CN,1582528724,60,27.72,109.19,68.85,9.89
Benghazi,22,LY,1582528726,66,32.12,20.07,57.04,13.38
Sfantu Gheorghe,93,RO,1582528727,84,45.87,25.78,39.0,4.0
Colac,78,AU,1582528728,92,-38.33,143.58,69.01,1.99
Hounde,31,BF,1582528730,13,11.5,-3.52,75.29,7.11
Najran,12,SA,1582528731,40,17.49,44.13,69.8,6.38
Heishan,100,CN,1582528733,35,41.69,122.11,42.22,12.86
Arman,16,RU,1582528734,90,59.7,150.17,0.97,5.26
Thinadhoo,63,MV,1582528736,79,0.53,72.93,83.32,14.99
Sangar,100,RU,1582528737,93,63.92,127.47,-6.27,3.27
Maracas,100,BR,1582528739,94,-13.44,-40.43,69.03,8.97
Teya,22,RU,1582528741,78,60.38,92.63,16.48,5.28
Sidi Ali,0,DZ,1582528742,70,36.1,0.42,50.32,3.69
Goderich,0,CA,1582528534,74,43.75,-81.72,39.99,10.96
Egvekinot,0,RU,1582528746,94,66.32,-179.17,-27.24,2.42
Labuhan,8,ID,1582528747,76,-6.88,112.21,85.53,5.23
Vardo,40,NO,1582528749,80,70.37,31.11,35.6,13.87
Mayo,1,US,1582528750,81,38.89,-76.51,42.8,4.7
Santiago de Cao,75,PE,1582528752,88,-7.96,-79.24,73.4,5.82
Gdov,43,RU,1582528753,83,58.74,27.81,32.86,11.41
Grinnell,1,US,1582528675,80,41.74,-92.72,37.4,8.05
Hvolsvollur,40,IS,1582528756,68,63.75,-20.22,35.6,20.8
San Patricio,0,MX,1582528757,81,19.22,-104.7,75.76,9.4
Safi,67,MA,1582528759,60,32.3,-9.24,57.0,2.68
Anadyr,58,RU,1582528760,75,64.75,177.48,-14.8,2.24
Okato,23,NZ,1582528761,66,-39.2,173.88,64.0,8.99
Zanjan,99,IR,1582528763,53,36.67,48.48,50.0,4.7
Neryungri,99,RU,1582528764,83,56.67,124.65,9.88,16.75
Kaduna,0,NG,1582528766,18,10.52,7.44,69.24,14.41
Toledo,0,ES,1582528767,51,39.83,-4.0,45.0,2.55
El Seibo,63,DO,1582528768,88,18.76,-69.04,72.21,13.94
Taft,96,IR,1582528770,18,31.75,54.21,64.4,9.17
Sal Rei,40,CV,1582528771,88,16.18,-22.92,66.2,3.36
Jacareacanga,88,BR,1582528773,96,-6.22,-57.75,69.48,1.05
Sorong,97,ID,1582528774,56,-0.88,131.25,90.1,5.19
Zeya,2,RU,1582528775,73,53.75,127.27,23.09,7.07
Dawei,33,MM,1582528777,63,14.08,98.2,81.84,13.71
San Juan,0,AR,1582528672,43,-31.54,-68.54,72.0,5.5
Muana,34,BR,1582528780,91,-1.53,-49.22,77.09,5.64
Tautira,40,PF,1582528545,78,-17.73,-149.15,80.6,3.36
Pochutla,0,MX,1582528783,76,15.74,-96.47,81.99,16.08
Soavinandriana,96,MG,1582528784,84,-19.17,46.73,74.34,3.42
Uromi,6,NG,1582528785,97,6.7,6.33,74.86,2.19
Hambantota,75,LK,1582528787,70,6.12,81.12,87.8,13.87
Palmdale,1,US,1582528757,75,34.58,-118.12,53.6,5.82
Jeremie,43,HT,1582528790,91,18.65,-74.12,68.32,5.99
Isla Vista,1,US,1582528643,87,34.41,-119.86,53.01,3.36
Lagos,20,NG,1582528783,94,6.58,3.75,82.4,11.41
Sao Gabriel da Cachoeira,100,BR,1582528794,94,-0.13,-67.09,75.7,0.81
Bud,40,US,1582528796,74,39.45,-86.18,45.0,6.93
Alexandria,40,EG,1582528645,93,31.22,29.96,48.2,2.24
Bilma,58,NE,1582528798,42,18.69,12.92,52.18,11.7
Flinders,0,AU,1582528800,54,-34.58,150.86,82.0,13.87
Middle Island,75,US,1582528801,86,40.88,-72.94,43.0,4.7
Chara,99,RU,1582528803,71,56.91,118.26,14.16,7.02
Kishtwar,32,IN,1582528804,57,33.32,75.77,25.92,5.23
Seredka,25,RU,1582528805,86,58.16,28.19,35.6,11.18
Victor Harbor,0,AU,1582528807,53,-35.57,138.62,79.0,16.11
Shasta Lake,1,US,1582528808,81,40.68,-122.37,44.6,4.61
Avera,90,US,1582528810,76,33.19,-82.53,52.0,3.49
Weirton,1,US,1582528811,38,40.42,-80.59,42.8,9.17
Qeshm,50,IR,1582528813,48,26.96,56.27,82.4,4.7
Carrickfergus,100,GB,1582528814,100,54.72,-5.81,37.0,5.82
Sakhipur,40,BD,1582528536,54,24.3,90.18,84.2,8.05
Syasstroy,98,RU,1582528817,93,60.14,32.57,33.76,8.1
Sao Paulo de Olivenca,100,BR,1582528818,97,-3.38,-68.87,73.11,1.77
Klaksvik,80,FO,1582528820,80,62.23,-6.59,35.6,10.29
Gunjur,100,GM,1582528821,78,13.2,-16.73,73.4,15.14
West Bay,0,KY,1582528823,80,19.37,-81.42,75.99,4.0
Edelira,0,PY,1582528824,65,-26.75,-55.27,63.59,1.66
Bracciano,40,IT,1582528659,93,42.1,12.18,53.01,6.93
Martaban,16,MM,1582528827,35,16.53,97.61,89.28,9.08
Huixtla,5,MX,1582528829,94,15.15,-92.47,73.4,2.06
Kushmurun,78,KZ,1582528830,93,52.45,64.63,13.42,10.04
Goulburn,50,AU,1582528832,34,-34.75,149.72,84.0,5.55
Marquard,33,ZA,1582528833,70,-28.66,27.43,57.9,8.72
Russell,90,US,1582528834,76,32.35,-85.2,52.0,3.33
Tres Arroyos,0,AR,1582528836,32,-38.37,-60.28,69.03,19.15
Mahibadhoo,39,MV,1582528837,76,3.78,72.97,83.03,15.61
Mountain Home,1,US,1582528620,51,43.13,-115.69,36.0,16.11
Vila Velha,75,BR,1582528840,73,-20.33,-40.29,77.0,5.82
Suslovo,0,RU,1582528841,90,56.22,88.12,19.26,5.55
Stromness,20,GB,1582528843,86,58.97,-3.3,35.6,1.12
Gimli,46,CA,1582528844,87,50.63,-96.99,19.0,7.36
Mecca,39,SA,1582528568,59,21.43,39.83,71.92,0.51
Manzhouli,0,CN,1582528848,77,49.6,117.43,16.88,5.79
Qiyang,9,CN,1582528849,47,26.59,111.85,77.77,15.99
Sinjar,16,IQ,1582528656,70,36.32,41.88,52.74,1.52
Lubao,75,PH,1582528852,55,14.92,120.55,87.8,11.41
Bam,13,IR,1582528854,19,29.11,58.36,70.29,3.85
Kaoma,100,ZM,1582528855,94,-14.78,24.8,67.89,2.15
Celestun,0,MX,1582528857,83,20.87,-90.4,73.58,16.4
Betare Oya,16,CM,1582528858,26,5.6,14.08,63.93,2.01
Inirida,61,CO,1582528860,93,3.87,-67.92,74.7,1.3
Lensk,100,RU,1582528861,90,60.73,114.93,18.77,14.25
Moroni,20,KM,1582528863,74,-11.7,43.26,87.8,9.17
Harper,100,LR,1582528864,95,4.38,-7.72,78.01,3.02
Hit,100,IQ,1582528866,60,33.64,42.83,61.03,11.25
Bata,51,GQ,1582528867,93,1.86,9.77,75.31,2.46
Middelkerke,75,BE,1582528869,93,51.16,2.84,44.01,16.11
La Ronge,20,CA,1582528870,79,55.1,-105.28,23.0,6.93
Kalianget,25,ID,1582528871,75,-7.05,113.93,84.43,4.65
Boyolangu,35,ID,1582528873,68,-8.12,111.89,87.31,6.49
Irtyshskiy,87,RU,1582528875,92,58.33,68.13,19.92,9.91
Biak,75,ID,1582528876,77,-0.91,122.88,84.22,16.04
Kamenka,87,RU,1582528877,98,51.32,42.77,35.01,5.99
Marzuq,27,YE,1582528879,8,14.4,46.47,76.1,2.86
Rujewa,100,TZ,1582528880,91,-8.7,34.38,71.38,0.87
Los Algarrobos,20,PA,1582528882,49,8.5,-82.43,70.05,5.32
Sindor,100,RU,1582528883,91,62.86,51.89,26.6,13.51
Adrar,100,MR,1582528885,12,20.5,-10.07,74.61,15.75
Baft,38,IR,1582528886,27,29.23,56.61,52.11,2.75
Yumen,6,CN,1582528887,19,40.28,97.2,47.05,6.2
Kieta,13,PG,1582528889,66,-6.22,155.63,85.77,2.26
Otradnoye,90,RU,1582528890,94,59.78,30.82,35.01,11.18
Sotouboua,0,TG,1582528892,25,8.57,0.98,68.27,3.2
Pangnirtung,100,CA,1582528893,97,66.15,-65.71,-31.99,0.81
Gizo,47,SB,1582528895,80,-8.1,156.84,81.34,4.41
Alofi,100,NU,1582528896,94,-19.06,-169.92,78.8,4.7
Sisimiut,64,GL,1582528898,90,66.94,-53.67,-7.28,3.98
Asau,40,RO,1582528899,87,46.43,26.4,50.0,1.12
Pargas,0,FI,1582528900,59,60.3,22.3,35.01,12.75
Sakata,75,JP,1582528902,87,38.92,139.85,46.4,26.4
Nemuro,40,JP,1582528903,58,43.32,145.57,26.6,3.36
Mitsamiouli,20,KM,1582528905,74,-11.38,43.28,87.8,9.17
Fare,24,PF,1582528644,73,-16.7,-151.02,83.07,10.65
Viet Tri,20,VN,1582528864,53,21.3,105.43,77.0,8.05
Rio Gallegos,85,AR,1582528909,62,-51.62,-69.22,44.6,20.8
Soe,79,ID,1582528910,78,-9.86,124.28,80.73,1.07
Hukuntsi,95,BW,1582528912,78,-24.0,21.75,68.95,12.26
Madang,100,PG,1582528913,75,-5.22,145.8,82.47,7.11
San-Pedro,96,CI,1582528915,88,4.75,-6.64,82.71,10.16
